filepath,classe,split
Experiment2/glioma/gl-0563.jpg.png,glioma,train
Experiment2/glioma/glioma_0257.png,glioma,train
Experiment2/glioma/gl-0751.jpg.png,glioma,train
Experiment2/glioma/gl-0080.jpg.png,glioma,train
Experiment2/glioma/gl-1155.jpg.png,glioma,train
Experiment2/glioma/glioma_1526.png,glioma,train
Experiment2/glioma/glioma_0231.png,glioma,train
Experiment2/glioma/glioma_0643.png,glioma,train
Experiment2/glioma/glioma_1159.png,glioma,train
Experiment2/glioma/glioma_1438.png,glioma,train
Experiment2/glioma/glioma_1548.png,glioma,train
Experiment2/glioma/glioma_0028.png,glioma,train
Experiment2/glioma/glioma_0468.png,glioma,train
Experiment2/glioma/gl-1522.jpg.png,glioma,train
Experiment2/glioma/glioma_1307.png,glioma,train
Experiment2/glioma/glioma_0659.png,glioma,train
Experiment2/glioma/gl-0930.jpg.png,glioma,train
Experiment2/glioma/gl-0726.jpg.png,glioma,train
Experiment2/glioma/gl-1134.jpg.png,glioma,train
Experiment2/glioma/glioma_0899.png,glioma,train
Experiment2/glioma/glioma_0304.png,glioma,train
Experiment2/glioma/glioma_0310.png,glioma,train
Experiment2/glioma/glioma_1333.png,glioma,train
Experiment2/glioma/gl-1575.jpg.png,glioma,train
Experiment2/glioma/gl-0879.jpg.png,glioma,train
Experiment2/glioma/gl-1600.jpg.png,glioma,train
Experiment2/glioma/glioma_1241.png,glioma,train
Experiment2/glioma/glioma_0171.png,glioma,train
Experiment2/glioma/gl-0720.jpg.png,glioma,train
Experiment2/glioma/glioma_0785.png,glioma,train
Experiment2/glioma/glioma_0675.png,glioma,train
Experiment2/glioma/gl-0522.jpg.png,glioma,train
Experiment2/glioma/glioma_0843.png,glioma,train
Experiment2/glioma/gl-1106.jpg.png,glioma,train
Experiment2/glioma/gl-0069.jpg.png,glioma,train
Experiment2/glioma/gl-0841.jpg.png,glioma,train
Experiment2/glioma/gl-1315.jpg.png,glioma,train
Experiment2/glioma/gl-1311.jpg.png,glioma,train
Experiment2/glioma/gl-1326.jpg.png,glioma,train
Experiment2/glioma/glioma_1478.png,glioma,train
Experiment2/glioma/gl-0695.jpg.png,glioma,train
Experiment2/glioma/gl-0361.jpg.png,glioma,train
Experiment2/glioma/glioma_0447.png,glioma,train
Experiment2/glioma/gl-0833.jpg.png,glioma,train
Experiment2/glioma/gl-1456.jpg.png,glioma,train
Experiment2/glioma/gl-1533.jpg.png,glioma,train
Experiment2/glioma/gl-1529.jpg.png,glioma,train
Experiment2/glioma/gl-0648.jpg.png,glioma,train
Experiment2/glioma/glioma_0705.png,glioma,train
Experiment2/glioma/gl-0543.jpg.png,glioma,train
Experiment2/glioma/gl-1327.jpg.png,glioma,train
Experiment2/glioma/gl-0810.jpg.png,glioma,train
Experiment2/glioma/glioma_0576.png,glioma,train
Experiment2/glioma/gl-0372.jpg.png,glioma,train
Experiment2/glioma/gl-0523.jpg.png,glioma,train
Experiment2/glioma/gl-0740.jpg.png,glioma,train
Experiment2/glioma/glioma_0619.png,glioma,train
Experiment2/glioma/gl-1528.jpg.png,glioma,train
Experiment2/glioma/gl-1026.jpg.png,glioma,train
Experiment2/glioma/gl-0802.jpg.png,glioma,train
Experiment2/glioma/glioma_0780.png,glioma,train
Experiment2/glioma/glioma_0146.png,glioma,train
Experiment2/glioma/gl-1447.jpg.png,glioma,train
Experiment2/glioma/gl-0531.jpg.png,glioma,train
Experiment2/glioma/glioma_0398.png,glioma,train
Experiment2/glioma/glioma_0746.png,glioma,train
Experiment2/glioma/glioma_1580.png,glioma,train
Experiment2/glioma/glioma_0431.png,glioma,train
Experiment2/glioma/gl-0962.jpg.png,glioma,train
Experiment2/glioma/gl-0023.jpg.png,glioma,train
Experiment2/glioma/glioma_0759.png,glioma,train
Experiment2/glioma/glioma_0790.png,glioma,train
Experiment2/glioma/gl-0746.jpg.png,glioma,train
Experiment2/glioma/glioma_0859.png,glioma,train
Experiment2/glioma/glioma_1369.png,glioma,train
Experiment2/glioma/gl-0853.jpg.png,glioma,train
Experiment2/glioma/gl-1441.jpg.png,glioma,train
Experiment2/glioma/gl-0951.jpg.png,glioma,train
Experiment2/glioma/glioma_0287.png,glioma,train
Experiment2/glioma/gl-1523.jpg.png,glioma,train
Experiment2/glioma/gl-0413.jpg.png,glioma,train
Experiment2/glioma/glioma_1306.png,glioma,train
Experiment2/glioma/glioma_1499.png,glioma,train
Experiment2/glioma/gl-1258.jpg.png,glioma,train
Experiment2/glioma/glioma_0368.png,glioma,train
Experiment2/glioma/gl-1093.jpg.png,glioma,train
Experiment2/glioma/gl-0003.jpg.png,glioma,train
Experiment2/glioma/gl-0652.jpg.png,glioma,train
Experiment2/glioma/gl-0797.jpg.png,glioma,train
Experiment2/glioma/glioma_0052.png,glioma,train
Experiment2/glioma/gl-0908.jpg.png,glioma,train
Experiment2/glioma/glioma_0977.png,glioma,train
Experiment2/glioma/gl-0851.jpg.png,glioma,train
Experiment2/glioma/glioma_0473.png,glioma,train
Experiment2/glioma/gl-0501.jpg.png,glioma,train
Experiment2/glioma/glioma_0864.png,glioma,train
Experiment2/glioma/gl-1029.jpg.png,glioma,train
Experiment2/glioma/glioma_1570.png,glioma,train
Experiment2/glioma/glioma_0193.png,glioma,train
Experiment2/glioma/gl-0639.jpg.png,glioma,train
Experiment2/glioma/gl-1161.jpg.png,glioma,train
Experiment2/glioma/gl-0389.jpg.png,glioma,train
Experiment2/glioma/glioma_0142.png,glioma,train
Experiment2/glioma/glioma_0412.png,glioma,train
Experiment2/glioma/glioma_0897.png,glioma,train
Experiment2/glioma/glioma_0347.png,glioma,train
Experiment2/glioma/glioma_0817.png,glioma,train
Experiment2/glioma/gl-1254.jpg.png,glioma,train
Experiment2/glioma/glioma_1244.png,glioma,train
Experiment2/glioma/glioma_0695.png,glioma,train
Experiment2/glioma/gl-1377.jpg.png,glioma,train
Experiment2/glioma/glioma_1573.png,glioma,train
Experiment2/glioma/gl-0493.jpg.png,glioma,train
Experiment2/glioma/glioma_1073.png,glioma,train
Experiment2/glioma/gl-1068.jpg.png,glioma,train
Experiment2/glioma/gl-0850.jpg.png,glioma,train
Experiment2/glioma/glioma_1233.png,glioma,train
Experiment2/glioma/gl-1143.jpg.png,glioma,train
Experiment2/glioma/gl-1032.jpg.png,glioma,train
Experiment2/glioma/gl-0794.jpg.png,glioma,train
Experiment2/glioma/glioma_0034.png,glioma,train
Experiment2/glioma/gl-1113.jpg.png,glioma,train
Experiment2/glioma/glioma_0616.png,glioma,train
Experiment2/glioma/gl-0827.jpg.png,glioma,train
Experiment2/glioma/gl-0721.jpg.png,glioma,train
Experiment2/glioma/gl-1509.jpg.png,glioma,train
Experiment2/glioma/gl-1398.jpg.png,glioma,train
Experiment2/glioma/glioma_0559.png,glioma,train
Experiment2/glioma/gl-0597.jpg.png,glioma,train
Experiment2/glioma/glioma_0430.png,glioma,train
Experiment2/glioma/glioma_0040.png,glioma,train
Experiment2/glioma/glioma_0315.png,glioma,train
Experiment2/glioma/glioma_0179.png,glioma,train
Experiment2/glioma/gl-0976.jpg.png,glioma,train
Experiment2/glioma/glioma_0850.png,glioma,train
Experiment2/glioma/glioma_0236.png,glioma,train
Experiment2/glioma/gl-1164.jpg.png,glioma,train
Experiment2/glioma/glioma_1283.png,glioma,train
Experiment2/glioma/gl-0083.jpg.png,glioma,train
Experiment2/glioma/glioma_1509.png,glioma,train
Experiment2/glioma/glioma_0704.png,glioma,train
Experiment2/glioma/glioma_0942.png,glioma,train
Experiment2/glioma/glioma_0335.png,glioma,train
Experiment2/glioma/glioma_1595.png,glioma,train
Experiment2/glioma/glioma_1370.png,glioma,train
Experiment2/glioma/glioma_1104.png,glioma,train
Experiment2/glioma/glioma_1330.png,glioma,train
Experiment2/glioma/gl-0715.jpg.png,glioma,train
Experiment2/glioma/gl-0173.jpg.png,glioma,train
Experiment2/glioma/glioma_1549.png,glioma,train
Experiment2/glioma/glioma_1400.png,glioma,train
Experiment2/glioma/glioma_1046.png,glioma,train
Experiment2/glioma/glioma_1016.png,glioma,train
Experiment2/glioma/gl-0910.jpg.png,glioma,train
Experiment2/glioma/glioma_0089.png,glioma,train
Experiment2/glioma/gl-0836.jpg.png,glioma,train
Experiment2/glioma/gl-1283.jpg.png,glioma,train
Experiment2/glioma/gl-0781.jpg.png,glioma,train
Experiment2/glioma/glioma_0566.png,glioma,train
Experiment2/glioma/glioma_0201.png,glioma,train
Experiment2/glioma/glioma_1563.png,glioma,train
Experiment2/glioma/glioma_0666.png,glioma,train
Experiment2/glioma/gl-1546.jpg.png,glioma,train
Experiment2/glioma/gl-0800.jpg.png,glioma,train
Experiment2/glioma/gl-0525.jpg.png,glioma,train
Experiment2/glioma/glioma_0809.png,glioma,train
Experiment2/glioma/glioma_1518.png,glioma,train
Experiment2/glioma/glioma_0889.png,glioma,train
Experiment2/glioma/gl-0093.jpg.png,glioma,train
Experiment2/glioma/glioma_1036.png,glioma,train
Experiment2/glioma/gl-0950.jpg.png,glioma,train
Experiment2/glioma/gl-0621.jpg.png,glioma,train
Experiment2/glioma/gl-0239.jpg.png,glioma,train
Experiment2/glioma/gl-1024.jpg.png,glioma,train
Experiment2/glioma/glioma_0517.png,glioma,train
Experiment2/glioma/glioma_1502.png,glioma,train
Experiment2/glioma/gl-1100.jpg.png,glioma,train
Experiment2/glioma/glioma_0993.png,glioma,train
Experiment2/glioma/glioma_0323.png,glioma,train
Experiment2/glioma/gl-1380.jpg.png,glioma,train
Experiment2/glioma/glioma_0389.png,glioma,train
Experiment2/glioma/glioma_0341.png,glioma,train
Experiment2/glioma/gl-1454.jpg.png,glioma,train
Experiment2/glioma/glioma_0837.png,glioma,train
Experiment2/glioma/gl-1224.jpg.png,glioma,train
Experiment2/glioma/gl-0655.jpg.png,glioma,train
Experiment2/glioma/glioma_0008.png,glioma,train
Experiment2/glioma/glioma_0880.png,glioma,train
Experiment2/glioma/gl-0005.jpg.png,glioma,train
Experiment2/glioma/gl-1493.jpg.png,glioma,train
Experiment2/glioma/glioma_0153.png,glioma,train
